sep=	
2.974889631063644124e-01	-2.585105470915066705e-01
-2.015144181226119491e-01	-2.403112120470253243e-01
-6.274805745122211675e-01	8.895990857198310398e-01
-8.673963144266243486e-01	6.405181119184247818e-01
-7.396069939585135922e-01	2.828941231075514651e-01
-4.133952948862680277e-01	4.869282442648790177e-01
-4.432197252786121422e-02	-8.385434131911440048e-01
5.972054001462479000e-01	-7.905097742267181982e-01
7.752437219270189583e-01	-1.631999133254690371e+00
2.881040022224168329e-03	-1.063284716709628430e+00
6.856201806574235835e-02	-2.557910398881277914e-01
2.483998976635860556e-01	1.599609599615330058e-01
1.155416839585730882e-01	9.360537398309253243e-01
-2.656543808681305907e-01	3.204425543578507951e-01
4.049317324523458161e-01	7.977548711040151064e-01
-1.845841126468348026e-01	-7.871462243926644065e-02
-4.565660386897485434e-01	-1.763873973830468178e-01
-3.442585157933271689e-01	-8.099655729920385294e-01
-3.510299653043550405e-01	-2.770862411002964487e-01
-3.914334250416491301e-01	-4.775117060474283748e-01
-9.704598289256186061e-02	-1.443407119864349442e-01
-3.309135959888039324e-01	5.904004412339507180e-02
1.711005301180733296e-01	2.419254832366901642e-02
-1.013940577464083614e-01	-2.771131610174089044e-01
4.608604128782153309e-01	1.517058512488103916e-01
-1.343369464370988142e-01	1.854013808508624961e-01
-2.247240310287778875e-01	6.450645754404232823e-02
-5.018601665614935703e-01	-2.828981379719038847e-01
-1.003478090784110932e-01	-2.355486963868199113e-01
-6.547549497092006177e-02	3.262638481476624053e-01
2.562624439731167603e-01	-5.062949316168622316e-01
5.105890619053885526e-01	-5.694525659757329605e-02
5.584581643879030777e-01	-7.437411375978976447e-02
3.200646087762594738e-01	-1.238769323594510197e-02
1.884728738531199488e-01	6.248505345932706123e-02
1.156291001227477411e-02	-3.464961377656275432e-02
9.592815522537839756e-02	3.802659428177879164e-01
-1.420675594060044900e-01	5.298010099693856167e-01
-2.512025088751814739e-01	2.543389953649638491e-01
-2.356184603456359383e-01	-4.337635896205421226e-01
-8.639259239771228394e-02	-5.556479152995546372e-03
-1.255902429495198147e-01	2.449267276895711887e-01
-8.644906792379337679e-01	-1.834567073040337393e-01
-1.015333624312847183e-01	5.864695749902149036e-02
2.347746932918063911e-01	-1.495661734084124950e-01
-1.389138799655076084e-01	2.017165355836133822e-01
1.597617293232228564e-02	3.630644934644122745e-01
-3.900070343874070811e-02	4.061497157174111527e-01
-2.924483623134792043e-01	-6.488693080995130980e-03
-5.559505439641877073e-02	-2.885543463550480636e-01
1.186615858338219143e-01	9.926777651551937920e-01
-4.038827890541418775e-01	-1.598632785092689856e-01
1.263388818493739740e-01	1.950850703561451127e-01
2.429470892706538793e-02	-3.311974117177746701e-01
-2.998735985592152486e-01	-2.518591813565986270e-01
5.961988486388014596e-01	1.223069351363538504e-01
7.293688572898929245e-04	-3.619636173001353208e-01
-1.928461535520873127e-01	-4.518222499585255458e-01
-2.997958160635681435e-01	2.340708147949235041e-01
3.595925419174634818e-01	2.273171821985991992e-01
-4.105034622023099322e-01	-4.148954097310062483e-01
-2.707956108892196623e-01	-6.930065912412988194e-01
-3.081807330798524425e-01	9.612098867688277648e-02
-3.764514771679182692e-01	2.072366239918760900e-01
-1.122959448433518276e-01	5.893838076257686964e-01
